10:00:43:641    Step1：校验模板,看是否齐全，并修改附件中图片后缀耗时：0时0分0秒
10:00:44:722    Step3：读取模板，按照固定的行列读取耗时：0时0分1秒
10:00:44:725    Step4：分析模板，看附件2*.xlsx对应的车牌在附件3*.xlsx中是否存在耗时：0时0分0秒
10:00:44:858    Step6：插入数据耗时==========：0时0分1秒
10:36:29:044    Step1：校验模板,看是否齐全，并修改附件中图片后缀耗时：0时0分0秒
10:36:45:316    Step3：读取模板，按照固定的行列读取耗时：0时0分16秒
10:36:45:318    Step4：分析模板，看附件2*.xlsx对应的车牌在附件3*.xlsx中是否存在耗时：0时0分0秒
10:36:45:349    Step6：插入数据耗时==========：0时0分16秒
11:08:32:236    Step1：校验模板,看是否齐全，并修改附件中图片后缀耗时：0时0分0秒
11:11:02:875    Step3：读取模板，按照固定的行列读取耗时：0时2分29秒
11:11:08:390    Step4：分析模板，看附件2*.xlsx对应的车牌在附件3*.xlsx中是否存在耗时：0时0分3秒
11:13:49:075    Step1：校验模板,看是否齐全，并修改附件中图片后缀耗时：0时0分0秒
11:14:03:659    Step3：读取模板，按照固定的行列读取耗时：0时0分13秒
11:14:09:009    Step4：分析模板，看附件2*.xlsx对应的车牌在附件3*.xlsx中是否存在耗时：0时0分2秒
11:15:38:306    Step6：插入数据耗时==========：0时1分43秒
11:34:47:860    Step1：校验模板,看是否齐全，并修改附件中图片后缀耗时：0时0分0秒
11:34:48:158    Step3：读取模板，按照固定的行列读取耗时：0时0分0秒
11:34:48:161    Step4：分析模板，看附件2*.xlsx对应的车牌在附件3*.xlsx中是否存在耗时：0时0分0秒
11:34:48:237    Step6：插入数据耗时==========：0时0分0秒
11:44:16:275    Step1：校验模板,看是否齐全，并修改附件中图片后缀耗时：0时0分0秒
11:44:16:493    Step3：读取模板，按照固定的行列读取耗时：0时0分0秒
11:44:16:494    Step4：分析模板，看附件2*.xlsx对应的车牌在附件3*.xlsx中是否存在耗时：0时0分0秒
11:44:16:511    Step6：插入数据耗时==========：0时0分0秒
